"html_file","ref_clean","image_name","image_relpath","image_fullpath","context_snippet","match_type"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/arranque_3.png","arranque_3.png","Imagenes\arranque_3.png","C:\Ispol\util\Ayuda\Imagenes\arranque_3.png","</ul><br> <div style=""margin-left: 40px;""> <ul style=""list-style-type: circle;""> <li><img src=""Imagenes/arranque_3.png"" style=""width: 112px; height: 37px;"" alt="""" align=""right""><span style=""font-weight: bold;"">","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/arranque_4.png","arranque_4.png","Imagenes\arranque_4.png","C:\Ispol\util\Ayuda\Imagenes\arranque_4.png","list-style-type: circle;""> <li><span style=""font-weight: bold;""><img style=""width: 75px; height: 40px;"" alt="""" src=""Imagenes/arranque_4.png"" align=""right"">Añadir carpeta a favoritos</span>: Añade la ruta de la carpeta seleccionada","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/arranque_5.png","arranque_5.png","Imagenes\arranque_5.png","C:\Ispol\util\Ayuda\Imagenes\arranque_5.png","secundario del ratón) así como vaciar la lista de proyectos recientes.</li> </ul> <ul> <li><img src=""Imagenes/arranque_5.png"" style=""width: 269px; height: 151px; margin-left: 7px;"" alt="""" align=""right""><span style=""f","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/arranque_6.png","arranque_6.png","Imagenes\arranque_6.png","C:\Ispol\util\Ayuda\Imagenes\arranque_6.png","ue el programa se inicie con ciertos estilos, resoluciones de pantalla, modos especiales,&#8230;<br> <br> <img src=""Imagenes/arranque_6.png"" style=""width: 694px; height: 324px; margin-left: 7px;"" alt="""" align=""middle""><br> <","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/icono_aviso.png","icono_aviso.png","Imagenes\icono_aviso.png","C:\Ispol\util\Ayuda\Imagenes\icono_aviso.png","2"" cellspacing=""2""> <tbody> <tr> <td style=""width: 36px; vertical-align: middle;""><img src=""Imagenes/icono_aviso.png"" style=""width: 32px; height: 32px;"" alt=""""><br> </td> <td style=","exact_path"
"C:\Ispol\util\Ayuda\arranque.html","Imagenes/interfaz_basica.png","interfaz_basica.png","Imagenes\interfaz_basica.png","C:\Ispol\util\Ayuda\Imagenes\interfaz_basica.png","ayuda contextual del programa<br> </li> </ul> <br> <div style=""text-align: center;""><img src=""Imagenes/interfaz_basica.png"" style=""width: 633px; height: 553px;"" alt=""""><br> </div> <span class=""Pa","exact_path"
"C:\Ispol\util\Ayuda\ascii_grid.html","Imagenes/home_button.jpg","home_button.jpg","Imagenes\home_button.jpg","C:\Ispol\util\Ayuda\Imagenes\home_button.jpg","<td><span class=""Parrafo""> <a href=""index.html""><img style=""border: 0px solid ; width: 33px; height: 33px;"" alt="""" src=""Imagenes/home_button.jpg"" name=""Inicio"" id=""Inicio"" /></a> <a href=""http://www.istram.net/index.php?opcion=11""><img","exact_path"
"C:\Ispol\util\Ayuda\ascii_grid.html","Imagenes/icono_ispol.png","icono_ispol.png","Imagenes\icono_ispol.png","C:\Ispol\util\Ayuda\Imagenes\icono_ispol.png","rc=""Imagenes/home_button.jpg"" name=""Inicio"" id=""Inicio"" /></a> <a href=""http://www.istram.net/index.php?opcion=11""><img src=""Imagenes/icono_ispol.png"" border=""0"" height=""30"" width=""30"" /></a> <a href=""mailto:soporte@istram.net?subjec","exact_path"
"C:\Ispol\util\Ayuda\ascii_grid.html","Imagenes/help.png","help.png","Imagenes\help.png","C:\Ispol\util\Ayuda\Imagenes\help.png","l.png"" border=""0"" height=""30"" width=""30"" /></a> <a href=""mailto:soporte@istram.net?subject=Soporte%20ISPOL""><img src=""Imagenes/help.png"" border=""0"" height=""30"" width=""30"" /> </a> <a href=""http://www.youtube.com/user/Buhodra""><img src","exact_path"
"C:\Ispol\util\Ayuda\ascii_grid.html","Imagenes/icono-youtube_30x30.png","icono-youtube_30x30.png","Imagenes\icono-youtube_30x30.png","C:\Ispol\util\Ayuda\Imagenes\icono-youtube_30x30.png","mg src=""Imagenes/help.png"" border=""0"" height=""30"" width=""30"" /> </a> <a href=""http://www.youtube.com/user/Buhodra""><img src=""Imagenes/icono-youtube_30x30.png"" border=""0"" height=""30"" width=""30"" /> </a> <a href=""http://www.facebook.com/board.","exact_path"
"C:\Ispol\util\Ayuda\ascii_grid.html","Imagenes/facebook30x30.png","facebook30x30.png","Imagenes\facebook30x30.png","C:\Ispol\util\Ayuda\Imagenes\facebook30x30.png","a> <a href=""http://www.facebook.com/board.php?uid=172144086144018#%21/pages/Buhodra-Ingenieria-SA/172144086144018""><img src=""Imagenes/facebook30x30.png"" border=""0"" height=""30"" width=""30"" /> </a> <a href=""http://twitter.com/IstramBuho","exact_path"
"C:\Ispol\util\Ayuda\ascii_grid.html","Imagenes/twitter.png","twitter.png","Imagenes\twitter.png","C:\Ispol\util\Ayuda\Imagenes\twitter.png","nes/facebook30x30.png"" border=""0"" height=""30"" width=""30"" /> </a> <a href=""http://twitter.com/IstramBuhodra""><img src=""Imagenes/twitter.png"" border=""0"" height=""30"" width=""30"" /></a></span> </td> </tr> </tbody> </table>","exact_path"
"C:\Ispol\util\Ayuda\ascii_grid.html","Imagenes/ejemplo_asciiGrid.png","ejemplo_asciiGrid.png","Imagenes\ejemplo_asciiGrid.png","C:\Ispol\util\Ayuda\Imagenes\ejemplo_asciiGrid.png","/> <br /> </span> <div style=""margin-left: 40px;""><img style=""width: 444px; height: 110px;"" alt="""" src=""Imagenes/ejemplo_asciiGrid.png"" /><br /> </div> <br /> <span class=""Parrafo""><span class=""Parr","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/home_button.jpg","home_button.jpg","Imagenes\home_button.jpg","C:\Ispol\util\Ayuda\Imagenes\home_button.jpg","padding=""0"" width=""700""> <tbody> <tr> <td><span class=""Parrafo""> <a href=""index.html""><img id=""Inicio"" name=""Inicio"" src=""Imagenes/home_button.jpg"" alt="""" style=""border: 0px solid ; width: 33px; height: 33px;"" /></a> <a href=""http://www","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/icono_ispol.png","icono_ispol.png","Imagenes\icono_ispol.png","C:\Ispol\util\Ayuda\Imagenes\icono_ispol.png","style=""border: 0px solid ; width: 33px; height: 33px;"" /></a> <a href=""http://www.istram.net/index.php?opcion=11""><img src=""Imagenes/icono_ispol.png"" border=""0"" height=""30"" width=""30"" /></a> <a href=""mailto:soporte@istram.net?subject=Sopor","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/help.png","help.png","Imagenes\help.png","C:\Ispol\util\Ayuda\Imagenes\help.png","no_ispol.png"" border=""0"" height=""30"" width=""30"" /></a> <a href=""mailto:soporte@istram.net?subject=Soporte%20ISPOL""><img src=""Imagenes/help.png"" border=""0"" height=""30"" width=""30"" /> </a> <a href=""http://www.youtube.com/user/Buhodra""><img src","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/icono-youtube_30x30.png","icono-youtube_30x30.png","Imagenes\icono-youtube_30x30.png","C:\Ispol\util\Ayuda\Imagenes\icono-youtube_30x30.png","mg src=""Imagenes/help.png"" border=""0"" height=""30"" width=""30"" /> </a> <a href=""http://www.youtube.com/user/Buhodra""><img src=""Imagenes/icono-youtube_30x30.png"" border=""0"" height=""30"" width=""30"" /> </a> <a href=""http://www.facebook.com/board.","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/facebook30x30.png","facebook30x30.png","Imagenes\facebook30x30.png","C:\Ispol\util\Ayuda\Imagenes\facebook30x30.png","a> <a href=""http://www.facebook.com/board.php?uid=172144086144018#%21/pages/Buhodra-Ingenieria-SA/172144086144018""><img src=""Imagenes/facebook30x30.png"" border=""0"" height=""30"" width=""30"" /> </a> <a href=""http://twitter.com/IstramBuhodra""><i","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/twitter.png","twitter.png","Imagenes\twitter.png","C:\Ispol\util\Ayuda\Imagenes\twitter.png","=""Imagenes/facebook30x30.png"" border=""0"" height=""30"" width=""30"" /> </a> <a href=""http://twitter.com/IstramBuhodra""><img src=""Imagenes/twitter.png"" border=""0"" height=""30"" width=""30"" /></a></span> </td> </tr> </tbody> </table> <table bgco","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_colores.png","Catalogo_longitudinal_colores.png","Imagenes\Catalogo_longitudinal_colores.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_colores.png","/> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img style=""width: 690px; height: 277px;"" alt="""" src=""Imagenes/Catalogo_longitudinal_colores.png"" /><br /><br />Los datos contenidos en la guitarra Colores.gui son los s","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_DiagMasC.png","Catalogo_longitudinal_DiagMasC.png","Imagenes\Catalogo_longitudinal_DiagMasC.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_DiagMasC.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_DiagMasC.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos co","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_DiagMasS.png","Catalogo_longitudinal_DiagMasS.png","Imagenes\Catalogo_longitudinal_DiagMasS.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_DiagMasS.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_DiagMasS.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos co","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_DiagVel.png","Catalogo_longitudinal_DiagVel.png","Imagenes\Catalogo_longitudinal_DiagVel.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_DiagVel.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_DiagVel.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos con","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_DobleRas.png","Catalogo_longitudinal_DobleRas.png","Imagenes\Catalogo_longitudinal_DobleRas.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_DobleRas.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_DobleRas.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos co","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ESTRUC.png","Catalogo_longitudinal_ESTRUC.png","Imagenes\Catalogo_longitudinal_ESTRUC.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ESTRUC.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ESTRUC.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos cont","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_GIASA1_d.png","Catalogo_longitudinal_GIASA1_d.png","Imagenes\Catalogo_longitudinal_GIASA1_d.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_GIASA1_d.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_GIASA1_d.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos co","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_GIASA1_I.png","Catalogo_longitudinal_GIASA1_I.png","Imagenes\Catalogo_longitudinal_GIASA1_I.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_GIASA1_I.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_GIASA1_I.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos co","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_GIF01.png","Catalogo_longitudinal_GIF01.png","Imagenes\Catalogo_longitudinal_GIF01.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_GIF01.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_GIF01.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos conte","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISOF1.png","Catalogo_longitudinal_ISOF1.png","Imagenes\Catalogo_longitudinal_ISOF1.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISOF1.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISOF1.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos conte","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISOF2.png","Catalogo_longitudinal_ISOF2.png","Imagenes\Catalogo_longitudinal_ISOF2.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISOF2.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISOF2.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos conte","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP01.png","Catalogo_longitudinal_ISP01.png","Imagenes\Catalogo_longitudinal_ISP01.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP01.png","la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <ul></ul><img src=""Imagenes/Catalogo_longitudinal_ISP01.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos conte","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP01b.png","Catalogo_longitudinal_ISP01b.png","Imagenes\Catalogo_longitudinal_ISP01b.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP01b.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP01b.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos cont","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP02.png","Catalogo_longitudinal_ISP02.png","Imagenes\Catalogo_longitudinal_ISP02.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP02.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP02.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos conte","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP02b.png","Catalogo_longitudinal_ISP02b.png","Imagenes\Catalogo_longitudinal_ISP02b.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP02b.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP02b.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos cont","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP03.png","Catalogo_longitudinal_ISP03.png","Imagenes\Catalogo_longitudinal_ISP03.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP03.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP03.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos conte","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP04.png","Catalogo_longitudinal_ISP04.png","Imagenes\Catalogo_longitudinal_ISP04.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP04.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP04.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos conte","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP05.png","Catalogo_longitudinal_ISP05.png","Imagenes\Catalogo_longitudinal_ISP05.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP05.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP05.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos conte","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP06.png","Catalogo_longitudinal_ISP06.png","Imagenes\Catalogo_longitudinal_ISP06.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP06.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP06.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos conte","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP06_T.png","Catalogo_longitudinal_ISP06_T.png","Imagenes\Catalogo_longitudinal_ISP06_T.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP06_T.png","longitudinal se representarÃ¡ con la siguiente apariencia.<br /><br /><img style=""width: 690px; height: 398px;"" alt="""" src=""Imagenes/Catalogo_longitudinal_ISP06_T.png"" /><br /><br /></span>Los datos contenidos en la guitarra ISP06_T.gui so","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP07.png","Catalogo_longitudinal_ISP07.png","Imagenes\Catalogo_longitudinal_ISP07.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP07.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP07.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><span class=""Parrafo""","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP07d.png","Catalogo_longitudinal_ISP07d.png","Imagenes\Catalogo_longitudinal_ISP07d.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP07d.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP07d.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos cont","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP07i.png","Catalogo_longitudinal_ISP07i.png","Imagenes\Catalogo_longitudinal_ISP07i.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP07i.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP07i.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos cont","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP07m.png","Catalogo_longitudinal_ISP07m.png","Imagenes\Catalogo_longitudinal_ISP07m.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP07m.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP07m.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos cont","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP08.png","Catalogo_longitudinal_ISP08.png","Imagenes\Catalogo_longitudinal_ISP08.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP08.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP08.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos conte","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP08b.png","Catalogo_longitudinal_ISP08b.png","Imagenes\Catalogo_longitudinal_ISP08b.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP08b.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP08b.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos cont","exact_path"
"C:\Ispol\util\Ayuda\Catalogo_guitarra_longitudinal.html","Imagenes/Catalogo_longitudinal_ISP08C.png","Catalogo_longitudinal_ISP08C.png","Imagenes\Catalogo_longitudinal_ISP08C.png","C:\Ispol\util\Ayuda\Imagenes\Catalogo_longitudinal_ISP08C.png","tarÃ¡ con la siguiente apariencia.</span><br /> <span class=""Parrafo""><br style=""font-weight: bold;"" /> </span> <img src=""Imagenes/Catalogo_longitudinal_ISP08C.png"" alt="""" style=""width: 690px; height: 388px;"" /><br /><br />Los datos cont","exact_path"
